temperature,magnitude,fpr_mean,fpr_std,accuracy_mean,accuracy_std
0.1,0.0,0.3533166471521087,0.006845142318271431,0.7860648148148148,0.007090591778515195
0.2,0.0,0.3530849225607932,0.006210625633997593,0.7860648148148148,0.007090591778515195
0.3,0.0,0.35326431042202233,0.006117453904382339,0.7860648148148148,0.007090591778515195
0.4,0.0,0.3536836162730422,0.00809559132275273,0.7860648148148148,0.007090591778515195
0.5,0.0,0.3541551337512094,0.008957135720357752,0.7860648148148148,0.007090591778515195
0.6,0.0,0.35450492757031243,0.008362149298763591,0.7860648148148148,0.007090591778515195
0.7,0.0,0.35439351937066893,0.00855269753915703,0.7860648148148148,0.007090591778515195
0.8,0.0,0.35497816948089383,0.0066021092505353955,0.7860648148148148,0.007090591778515195
0.9,0.0,0.35509268706062885,0.0068579109331526915,0.7860648148148148,0.007090591778515195
1.0,0.0,0.35774762875725763,0.00618532502128994,0.7860648148148148,0.007090591778515195
1.1,0.0,0.3583365743809857,0.006378545388237291,0.7860648148148148,0.007090591778515195
1.2,0.0,0.3582125075269955,0.0056883554394224455,0.7860648148148148,0.007090591778515195
1.3,0.0,0.3583923153364709,0.00611483092661788,0.7860648148148148,0.007090591778515195
1.4,0.0,0.3591613636149817,0.0056203353472973,0.7860648148148148,0.007090591778515195
1.5,0.0,0.35951382454621533,0.007176012512783739,0.7860648148148148,0.007090591778515195
1.7,0.0,0.3612812511080144,0.005450951433204941,0.7860648148148148,0.007090591778515195
2.0,0.0,0.36403657075131246,0.0037289085521049056,0.7860648148148148,0.007090591778515195
2.3,0.0,0.3652080734962173,0.006504988980617389,0.7860648148148148,0.007090591778515195
