temperature,magnitude,fpr_mean,fpr_std,accuracy_mean,accuracy_std
0.1,0.0,0.3904730549064132,0.004383854092157757,0.7310648148148148,0.004859788179773248
0.2,0.0,0.39153697187245634,0.004814367478715393,0.7310648148148148,0.004859788179773248
0.3,0.0,0.3924128981617237,0.006142955931717862,0.7310648148148148,0.004859788179773248
0.4,0.0,0.39272391125893025,0.007128694084989059,0.7310648148148148,0.004859788179773248
0.5,0.0,0.3919063472922834,0.005852465521492209,0.7310648148148148,0.004859788179773248
0.6,0.0,0.39280014008382286,0.004695645701148367,0.7310648148148148,0.004859788179773248
0.7,0.0,0.3921721754466014,0.0039001142710126694,0.7310648148148148,0.004859788179773248
0.8,0.0,0.39204901025689926,0.0023526763371308165,0.7310648148148148,0.004859788179773248
0.9,0.0,0.390404173299999,0.001829874598541397,0.7310648148148148,0.004859788179773248
1.0,0.0,0.3888836366376524,0.002092763677171959,0.7310648148148148,0.004859788179773248
1.1,0.0,0.39103776822149444,0.001862033797502038,0.7310648148148148,0.004859788179773248
1.2,0.0,0.39235558528239195,0.004498277758819614,0.7310648148148148,0.004859788179773248
1.3,0.0,0.39500639332280435,0.006564231163057959,0.7310648148148148,0.004859788179773248
1.4,0.0,0.39544134738218356,0.008394704856663318,0.7310648148148148,0.004859788179773248
1.5,0.0,0.39556706238626926,0.008602413102264972,0.7310648148148148,0.004859788179773248
1.7,0.0,0.39899231978316335,0.007996672159352897,0.7310648148148148,0.004859788179773248
2.0,0.0,0.3979806613076689,0.008570182860390584,0.7310648148148148,0.004859788179773248
2.3,0.0,0.3993049700868738,0.009106207754796144,0.7310648148148148,0.004859788179773248
