model_name,style,temperature,magnitude,method,accuracy,fpr,auc,aurc,aupr,ece,r,lbd,seed
densenet121_tinyimagenet,ce,0.1,0.0,lgap,0.7272222222222222,0.38636363636363635,0.8861797496261976,0.07514310383250353,0.7061505905832387,0.15273307755486007,10,0.5,2
densenet121_tinyimagenet,ce,0.2,0.0,lgap,0.7272222222222222,0.3859816653934301,0.8864740073033472,0.07509437305896964,0.7083284383269834,0.1565896422110705,10,0.5,2
densenet121_tinyimagenet,ce,0.3,0.0,lgap,0.7272222222222222,0.38617265087853325,0.8866044103255077,0.07508553522892833,0.7094843451827589,0.15928822372833057,10,0.5,2
densenet121_tinyimagenet,ce,0.4,0.0,lgap,0.7272222222222222,0.3865546218487395,0.8866678614604517,0.07509065630037323,0.7102857915449435,0.1616758334781561,10,0.5,2
densenet121_tinyimagenet,ce,0.5,0.0,lgap,0.7272222222222222,0.3867456073338426,0.8866568243664806,0.0751155583402034,0.7108525251689981,0.16432364091794527,10,0.5,2
densenet121_tinyimagenet,ce,0.6,0.0,lgap,0.7272222222222222,0.3877005347593583,0.8866067441603562,0.07514928176713312,0.7111751805251781,0.16663646860048173,10,0.5,2
densenet121_tinyimagenet,ce,0.7,0.0,lgap,0.7272222222222222,0.3877005347593583,0.8865025967802416,0.07519658510706403,0.7111704954532876,0.16781531757054233,10,0.5,2
densenet121_tinyimagenet,ce,0.8,0.0,lgap,0.7272222222222222,0.38961038961038963,0.8863631015264836,0.07525274179598798,0.7112109824571989,0.1693631369372209,10,0.5,2
densenet121_tinyimagenet,ce,0.9,0.0,lgap,0.7272222222222222,0.38884644766997706,0.886209651885194,0.07531323926633192,0.7110932633217203,0.1711892918497324,10,0.5,2
densenet121_tinyimagenet,ce,1.0,0.0,lgap,0.7272222222222222,0.38789152024446144,0.88602912003535,0.07538246221086971,0.7111521528937066,0.1729146125757446,10,0.5,2
densenet121_tinyimagenet,ce,1.1,0.0,lgap,0.7272222222222222,0.390183346065699,0.885834779662652,0.0754538387624307,0.710881545623256,0.1742513080732897,10,0.5,2
densenet121_tinyimagenet,ce,1.2,0.0,lgap,0.7272222222222222,0.38922841864018337,0.885601833771835,0.07553661023284927,0.7107572326908458,0.17554200951837834,10,0.5,2
densenet121_tinyimagenet,ce,1.3,0.0,lgap,0.7272222222222222,0.3890374331550802,0.885368887881018,0.07561914042038946,0.7106769195170297,0.17607236774845253,10,0.5,2
densenet121_tinyimagenet,ce,1.4,0.0,lgap,0.7272222222222222,0.3882734912146677,0.8851283570269434,0.07570395885819313,0.7103370964141797,0.17682954660099415,10,0.5,2
densenet121_tinyimagenet,ce,1.5,0.0,lgap,0.7272222222222222,0.3882734912146677,0.8849036768012148,0.0757846891494424,0.7102105990198999,0.17689464043618902,10,0.5,2
densenet121_tinyimagenet,ce,1.7,0.0,lgap,0.7272222222222222,0.39591291061879297,0.8844185308820807,0.07595487057215264,0.7095985467507144,0.17788704226103924,10,0.5,2
densenet121_tinyimagenet,ce,2,0.0,lgap,0.7272222222222222,0.3966768525592055,0.8836381062330505,0.07623027721856339,0.7085583069984802,0.17942207237084706,10,0.5,2
densenet121_tinyimagenet,ce,2.3,0.0,lgap,0.7272222222222222,0.3961038961038961,0.8828118800751183,0.07651962181884137,0.7072560139720995,0.1772683688832654,10,0.5,2
