model_name,style,temperature,magnitude,method,accuracy,fpr,auc,aurc,aupr,ece,r,lbd,seed
fastvit_tinyimagenet,ce,0.1,0.0,lgap,0.7670833333333333,0.3961615064276661,0.8779092710474794,0.06188696779951466,0.6505303396265837,0.13704841046076682,10,0.5,4
fastvit_tinyimagenet,ce,0.2,0.0,lgap,0.7670833333333333,0.39670468948035487,0.8781196991471996,0.061847287177074516,0.6518832022458164,0.13876425937904668,10,0.5,4
fastvit_tinyimagenet,ce,0.3,0.0,lgap,0.7670833333333333,0.3985152996559841,0.8782712851153917,0.061821806677909395,0.6528853030866679,0.13989373014515474,10,0.5,4
fastvit_tinyimagenet,ce,0.4,0.0,lgap,0.7670833333333333,0.40123121491942787,0.8783692113783191,0.06180659211374283,0.6535638121414862,0.14229238862171767,10,0.5,4
fastvit_tinyimagenet,ce,0.5,0.0,lgap,0.7670833333333333,0.400869092884302,0.8784132080179478,0.06180247225433082,0.6538261666217215,0.14371630250372822,10,0.5,4
fastvit_tinyimagenet,ce,0.6,0.0,lgap,0.7670833333333333,0.4005069708491762,0.8784200639360248,0.06180669213195498,0.6538582671304349,0.14372441100370553,10,0.5,4
fastvit_tinyimagenet,ce,0.7,0.0,lgap,0.7670833333333333,0.3977910555857324,0.8784162850835412,0.06181295726584537,0.6537515666667397,0.144217445432312,10,0.5,4
fastvit_tinyimagenet,ce,0.8,0.0,lgap,0.7670833333333333,0.39833423863842116,0.8784033290178839,0.061823742464493174,0.6537192397230688,0.14378251642920076,10,0.5,4
fastvit_tinyimagenet,ce,0.9,0.0,lgap,0.7670833333333333,0.3988774216911099,0.8783696432471746,0.06183645783098038,0.653672791244124,0.14332535513055822,10,0.5,4
fastvit_tinyimagenet,ce,1.0,0.0,lgap,0.7670833333333333,0.39923954372623577,0.8783186287386482,0.0618561176131518,0.6535965001855203,0.1419714303806217,10,0.5,4
fastvit_tinyimagenet,ce,1.1,0.0,lgap,0.7670833333333333,0.3999637877964874,0.8782459128201459,0.061877893430527936,0.6534388230677602,0.1403781400144928,10,0.5,4
fastvit_tinyimagenet,ce,1.2,0.0,lgap,0.7670833333333333,0.40068803186673907,0.8781632099343657,0.061902401775939586,0.6532289140113545,0.1398878821073514,10,0.5,4
fastvit_tinyimagenet,ce,1.3,0.0,lgap,0.7670833333333333,0.40105015390186494,0.8780913037699668,0.06192322070763768,0.6531296771301867,0.13820390605471197,10,0.5,4
fastvit_tinyimagenet,ce,1.4,0.0,lgap,0.7670833333333333,0.4017743979721166,0.8780028786218547,0.061949389867599264,0.6530895792979948,0.137204226747983,10,0.5,4
fastvit_tinyimagenet,ce,1.5,0.0,lgap,0.7670833333333333,0.4015933369545537,0.8779115383589697,0.06197550062781427,0.6527740514311003,0.13602180268874184,10,0.5,4
fastvit_tinyimagenet,ce,1.7,0.0,lgap,0.7670833333333333,0.40267970305993117,0.8776902055706549,0.06203777548829062,0.6522405738561909,0.13346328608226032,10,0.5,4
fastvit_tinyimagenet,ce,2,0.0,lgap,0.7670833333333333,0.400869092884302,0.8773374226995238,0.062134206922426334,0.65159886343251,0.13257326892887553,10,0.5,4
fastvit_tinyimagenet,ce,2.3,0.0,lgap,0.7670833333333333,0.40195545898967955,0.8769480389429103,0.06224382839976445,0.6506895975489554,0.13776910116740812,10,0.5,4
