temperature,magnitude,fpr_mean,fpr_std,accuracy_mean,accuracy_std
0.1,0.0,0.3737136933203486,0.024003198549472134,0.7650462962962963,0.0018495355884665398
0.2,0.0,0.3734703685046898,0.024300154116675937,0.7650462962962963,0.0018495355884665398
0.3,0.0,0.37413445624412905,0.025079368615098248,0.7650462962962963,0.0018495355884665398
0.4,0.0,0.37558463233773987,0.025503302569195446,0.7650462962962963,0.0018495355884665398
0.5,0.0,0.37613025051602983,0.02459567352727677,0.7650462962962963,0.0018495355884665398
0.6,0.0,0.3763731136231725,0.024140863585633426,0.7650462962962963,0.0018495355884665398
0.7,0.0,0.37564999031166163,0.023109707671552047,0.7650462962962963,0.0018495355884665398
0.8,0.0,0.3757101255453039,0.023762144400630243,0.7650462962962963,0.0018495355884665398
0.9,0.0,0.3770423608113808,0.023045704804077496,0.7650462962962963,0.0018495355884665398
1.0,0.0,0.3783136255490523,0.021532657446746897,0.7650462962962963,0.0018495355884665398
1.1,0.0,0.37873713389317065,0.02209910692306353,0.7650462962962963,0.0018495355884665398
1.2,0.0,0.3794031987832838,0.022710436973665604,0.7650462962962963,0.0018495355884665398
1.3,0.0,0.38073686510283816,0.023412157440145485,0.7650462962962963,0.0018495355884665398
1.4,0.0,0.38194815348782435,0.023590173118219697,0.7650462962962963,0.0018495355884665398
1.5,0.0,0.3817059705280765,0.023566459033399097,0.7650462962962963,0.0018495355884665398
1.7,0.0,0.38315906828656354,0.023715409203386276,0.7650462962962963,0.0018495355884665398
2.0,0.0,0.38407098124020606,0.02300047845785661,0.7650462962962963,0.0018495355884665398
2.3,0.0,0.3851613897692007,0.02487448614884757,0.7650462962962963,0.0018495355884665398
