temperature,magnitude,fpr_mean,fpr_std,accuracy_mean,accuracy_std
0.1,0.0,0.380043117410726,0.011700949540586491,0.7481018518518519,0.005652510458689759
0.2,0.0,0.3798672703003841,0.010293071717249256,0.7481018518518519,0.005652510458689759
0.3,0.0,0.3798143837503787,0.008761200208512798,0.7481018518518519,0.005652510458689759
0.4,0.0,0.3814764392157805,0.010852378489725204,0.7481018518518519,0.005652510458689759
0.5,0.0,0.38146846318542454,0.011998879957475351,0.7481018518518519,0.005652510458689759
0.6,0.0,0.38134489432826085,0.011829006488008643,0.7481018518518519,0.005652510458689759
0.7,0.0,0.38283878514361486,0.010099011312996531,0.7481018518518519,0.005652510458689759
0.8,0.0,0.38340190388447676,0.009618576127717438,0.7481018518518519,0.005652510458689759
0.9,0.0,0.38427211635164876,0.00839972079035449,0.7481018518518519,0.005652510458689759
1.0,0.0,0.3861324298025093,0.006659301006496826,0.7481018518518519,0.005652510458689759
1.1,0.0,0.3885457322421592,0.006564576097369599,0.7481018518518519,0.005652510458689759
1.2,0.0,0.39077337254616024,0.00648542022851763,0.7481018518518519,0.005652510458689759
1.3,0.0,0.3920745458683574,0.0059211510198024595,0.7481018518518519,0.005652510458689759
1.4,0.0,0.3924483338866476,0.005269137574680514,0.7481018518518519,0.005652510458689759
1.5,0.0,0.3921341895043194,0.006188390160801126,0.7481018518518519,0.005652510458689759
1.7,0.0,0.3931866702843205,0.006790248016005372,0.7481018518518519,0.005652510458689759
2.0,0.0,0.3947986012182607,0.006797861717996607,0.7481018518518519,0.005652510458689759
2.3,0.0,0.3978970575847713,0.006667445409017205,0.7481018518518519,0.005652510458689759
