model_name,style,temperature,magnitude,method,accuracy,fpr,auc,aurc,aupr,ece,r,lbd,seed
swin_tinyimagenet,ce,0.1,0.0,lgap,0.8163888888888889,0.3227288193263015,0.9047302719594953,0.037457343607835814,0.6628121605548581,0.11395436390406555,10,0.5,3
swin_tinyimagenet,ce,0.2,0.0,lgap,0.8163888888888889,0.32306907111262334,0.9048179086714789,0.037449881994896794,0.6645109404301839,0.11495840112264787,10,0.5,3
swin_tinyimagenet,ce,0.3,0.0,lgap,0.8163888888888889,0.3237495746852671,0.9048890732848813,0.0374432110572085,0.6654068733520634,0.11606134715800485,10,0.5,3
swin_tinyimagenet,ce,0.4,0.0,lgap,0.8163888888888889,0.3249404559373937,0.9048546491726116,0.03745659760398937,0.6656390457766949,0.11689729909464304,10,0.5,3
swin_tinyimagenet,ce,0.5,0.0,lgap,0.8163888888888889,0.326811840762164,0.9048509815569118,0.037462279490199396,0.66609459172901,0.11829147714707587,10,0.5,3
swin_tinyimagenet,ce,0.6,0.0,lgap,0.8163888888888889,0.3290234773732562,0.904810123031134,0.037474455151317664,0.6661197790276946,0.11839771922781236,10,0.5,3
swin_tinyimagenet,ce,0.7,0.0,lgap,0.8163888888888889,0.33089486219802655,0.904752470686099,0.03748982640464707,0.6662820033429739,0.11862355575845059,10,0.5,3
swin_tinyimagenet,ce,0.8,0.0,lgap,0.8163888888888889,0.3329363729159578,0.9046795687810493,0.03750881259027946,0.6663533267295267,0.11859492487377592,10,0.5,3
swin_tinyimagenet,ce,0.9,0.0,lgap,0.8163888888888889,0.33480775774072813,0.9045918033807954,0.0375307483858563,0.6661509010316413,0.11924503124422497,10,0.5,3
swin_tinyimagenet,ce,1.0,0.0,lgap,0.8163888888888889,0.3354882613133719,0.9044988904497345,0.03755250504045188,0.6659577254173445,0.11947252459617123,10,0.5,3
swin_tinyimagenet,ce,1.1,0.0,lgap,0.8163888888888889,0.3365090166723375,0.9044026316236496,0.03757575777014399,0.6657163514418665,0.11928362585190269,10,0.5,3
swin_tinyimagenet,ce,1.2,0.0,lgap,0.8163888888888889,0.3371895202449813,0.9043086891864276,0.03759802310009051,0.665375737816111,0.1189588379787488,10,0.5,3
swin_tinyimagenet,ce,1.3,0.0,lgap,0.8163888888888889,0.3371895202449813,0.9042022639869993,0.03762254358396756,0.6651592930245962,0.11879914700933215,10,0.5,3
swin_tinyimagenet,ce,1.4,0.0,lgap,0.8163888888888889,0.3371895202449813,0.9040746052229937,0.037650976154602125,0.6648276116528762,0.11826811565862347,10,0.5,3
swin_tinyimagenet,ce,1.5,0.0,lgap,0.8163888888888889,0.33838040149710785,0.9039410267985601,0.037680716286642726,0.6644666119452601,0.11853562301231754,10,0.5,3
swin_tinyimagenet,ce,1.7,0.0,lgap,0.8163888888888889,0.33889077917659066,0.9036972912148635,0.037734446021439376,0.6638181448944371,0.11806415567174554,10,0.5,3
swin_tinyimagenet,ce,2,0.0,lgap,0.8163888888888889,0.34008166042871724,0.9033197198301933,0.03781888728016672,0.6628931011875397,0.11478081963438955,10,0.5,3
swin_tinyimagenet,ce,2.3,0.0,lgap,0.8163888888888889,0.34059203810820005,0.9029140944026265,0.03790957692697491,0.661931314180407,0.1121558821444503,10,0.5,3
