temperature,magnitude,fpr_mean,fpr_std,accuracy_mean,accuracy_std
0.1,0.0,0.3394173780021293,0.0156731226591616,0.8125925925925926,0.004215760162160174
0.2,0.0,0.33993073411990776,0.015778077665553673,0.8125925925925926,0.004215760162160174
0.3,0.0,0.34072752896448993,0.01607077975555897,0.8125925925925926,0.004215760162160174
0.4,0.0,0.34129562619050086,0.015614358115161436,0.8125925925925926,0.004215760162160174
0.5,0.0,0.3418621276750038,0.014635907803899693,0.8125925925925926,0.004215760162160174
0.6,0.0,0.3426566333357884,0.013512464244780116,0.8125925925925926,0.004215760162160174
0.7,0.0,0.34350885854310115,0.01274792152232582,0.8125925925925926,0.004215760162160174
0.8,0.0,0.3448158723305734,0.012637148435505379,0.8125925925925926,0.004215760162160174
0.9,0.0,0.3456111758621121,0.01183760751643534,0.8125925925925926,0.004215760162160174
1.0,0.0,0.34600877541364916,0.011806156467389027,0.8125925925925926,0.004215760162160174
1.1,0.0,0.3464643576767715,0.011101547106679608,0.8125925925925926,0.004215760162160174
1.2,0.0,0.3473775983420933,0.010944958045547184,0.8125925925925926,0.004215760162160174
1.3,0.0,0.34766257850227705,0.011295312005259354,0.8125925925925926,0.004215760162160174
1.4,0.0,0.34771726949017273,0.012028082972583115,0.8125925925925926,0.004215760162160174
1.5,0.0,0.348573321126872,0.011152064666706638,0.8125925925925926,0.004215760162160174
1.7,0.0,0.3489729926296949,0.010767062533575513,0.8125925925925926,0.004215760162160174
2.0,0.0,0.3501054734563773,0.012843749210530065,0.8125925925925926,0.004215760162160174
2.3,0.0,0.35124029358719405,0.015363426662792109,0.8125925925925926,0.004215760162160174
